control,outcome,overall_att,overall_se,overall_p,any_presig
Socioeconomically matched control,Candidacy (pp),0.945,1.629,0.562,FALSE
Socioeconomically matched control,Reelection (pp),-0.5,1.727,0.772,FALSE
Socioeconomically matched control,Winner vote share (%),-0.155,0.438,0.723,FALSE
Socioeconomically matched control,Abstention (%),-0.018,0.229,0.939,FALSE
Socioeconomically matched control,Candidate turnover (%),0.084,0.853,0.922,FALSE
Socioeconomically matched control,Incumbent vote share (%),-0.156,0.629,0.804,FALSE
Baseline control,Candidacy (pp),1.099,1.616,0.496,FALSE
Baseline control,Reelection (pp),-0.407,1.564,0.795,FALSE
Baseline control,Winner vote share (%),0.114,0.423,0.787,FALSE
Baseline control,Abstention (%),0.352,0.219,0.109,FALSE
Baseline control,Candidate turnover (%),-0.708,0.754,0.348,FALSE
Baseline control,Incumbent vote share (%),0.266,0.616,0.666,FALSE
