cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),5,-22.953967298241018,19.651213140550848,0.24372218932939302,-61.47034505372068,15.562410457238641
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),5,3.7246628191164803,31.279929941694004,0.9052924374406239,-57.58399986660376,65.03332550483672
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),5,0.5833107489845437,2.308400411313187,0.8006549207135175,-3.9411540571893022,5.10777555515839
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),5,0.6980549491629174,1.5010217494615274,0.6421809244085785,-2.243947679781676,3.6400575781075113
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),3,10.45472536618022,5.421443840309099,0.0560725671823596,-0.17130456082561274,21.08075529318605
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),19,-19.130802580960065,10.341639707444669,0.06453074301281861,-39.40041640755162,1.1388112456314872
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),19,-17.046284372508904,12.067337600308157,0.1579743697467112,-40.69826606911289,6.6056973240950825
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),23,2.282960228654931,4.05661047481313,0.573662099518554,-5.667996301978803,10.233916759288666
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),23,-0.5862391101662001,2.1110924276226926,0.7812805203756782,-4.723980268306677,3.5515020479742776
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),20,1.1075638879668115,6.705159195030582,0.868838897955601,-12.034548134293129,14.249675910226753
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),13,2.4774542466679867,6.226386940806444,0.6908303038567609,-9.726264157312643,14.681172650648618
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),9,-30.58605740972883,24.10600747333999,0.20615461915238384,-77.8338320574752,16.661717238017545
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),9,-39.546400987992016,24.635829733893445,0.11013765734406333,-87.83262726642317,8.739825290439136
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),10,-17.329468953684795,6.051055630490689,0.004599433549508449,-29.189537989446546,-5.469399917923045
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),10,-7.393857926029447,2.2942499960532325,0.0014486554873659654,-11.890587918293782,-2.897127933765111
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),10,2.2430412684913876,4.164546793724914,0.5907713494369681,-5.919470447209443,10.405552984192218
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),4,-15.881666142882251,6.109390398208416,0.011691721053346465,-27.856071323370745,-3.9072609623937566
