cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),2123,0.9786377528712584,1.7790143857357423,0.5822656623915686,-2.5082304431707962,4.4655059489133135
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),2158,-0.7571974765970906,1.8416707566209287,0.6809756028634458,-4.366872159574111,2.8524772063799295
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),2401,-0.7428264121415313,0.4614444740854366,0.10747988608592372,-1.647257581348987,0.16160475706592436
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),2401,-0.43109803417205317,0.17045522279887024,0.011452534877642542,-0.7651902708578389,-0.09700579748626753
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),1462,-1.4763161396309714,0.8370574038989972,0.07787076576331925,-3.116948651273006,0.16431637201106297
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),2162,-1.2136221354876289,1.7613010798065454,0.4908165328399966,-4.665772251908458,2.2385279809332
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),2223,-0.6282557718363893,1.8439052547864494,0.7333245580901426,-4.24231007121783,2.9857985275450516
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),2395,0.37080682163139894,0.5448947310023605,0.4962017128955408,-0.6971868511332278,1.4388004943960255
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),2396,-0.2809832553258549,0.2632867027769855,0.2859090660980599,-0.7970251927687465,0.23505868211703673
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),2158,0.07518540930535561,0.7800841416068427,0.9232222009151455,-1.4537795082440559,1.6041503268547672
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),1439,-0.2884758332918191,0.9675195830952834,0.7656006044422077,-2.1848142161585744,1.6078625495749364
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),963,2.924118992532663,2.5507591500919684,0.25169784411075463,-2.0753689416475947,7.923606926712921
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),963,4.471499901957612,2.684982480342779,0.09590118467568945,-0.7910657595142343,9.734065563429459
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),1067,-0.9864367595235299,0.8010870366352274,0.21823680571528975,-2.5565673513285754,0.5836938322815157
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),1114,-0.3664014302621592,0.39929866355639415,0.35886151336650784,-1.1490268108326918,0.41622395030837334
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),1055,0.726722070288385,0.7787084708099042,0.35074093107758286,-0.7995465324990274,2.2529906730757974
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),488,-2.5193628685658944,1.5719565469573085,0.10920939071807526,-5.600397700602219,0.5616719634704301
