cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),494,0.1317547487922635,3.4931185332428925,0.9699147056640068,-6.714757576363805,6.978267073948333
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),507,0.6573226309719971,3.626645134711579,0.8561844530341158,-6.450901833062698,7.765547095006692
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),581,0.19909370595657214,0.7504158725675203,0.7907853922884918,-1.2717214042757676,1.6699088161889117
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),581,0.15866159018285156,0.3355570570778881,0.6363636149619462,-0.49903024168980914,0.8163534220555122
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),334,-0.13245561400724995,1.4338331649632483,0.9264111116694765,-2.9427686173352168,2.6778573893207165
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),459,1.8800435256686918,3.5015641342378974,0.5913679997836747,-4.9830221774375865,8.743109228774971
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),479,-0.9165758162303289,3.7127711639730405,0.8050250744168121,-8.193607297617488,6.360455665156831
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),507,0.8438720968497609,0.9256386601713367,0.3620135996883733,-0.970379677086059,2.6581238707855808
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),507,0.38359338509680385,0.5149793402044214,0.45640385677235307,-0.6257661217038619,1.3929528918974696
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),502,-0.12037124572936259,1.2649289974372928,0.9241940977362628,-2.5996320807064563,2.358889589247731
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),324,2.2663551321033504,1.767211325061763,0.1999002739347601,-1.1973790650177047,5.7300893292244055
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),124,3.857267178408739,6.512702267433728,0.55375168935732,-8.907629265761367,16.622163622578846
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),124,7.379586178036638,6.851114173866277,0.2815729504722775,-6.048597602741264,20.80776995881454
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),133,0.37580911351328017,1.726644627071628,0.8277236884776619,-3.008414355547111,3.760032582573671
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),133,-0.5042589559853745,1.0033738697037828,0.6153310058757244,-2.470871740604789,1.4623538286340398
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),132,-3.5262073661350617,1.998421638485593,0.07781646703314264,-7.443113777566824,0.39069904529670074
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),54,-0.9113886910615832,4.138492225721989,0.8257883810937698,-9.022833453476682,7.200056071353515
