cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),2163,1.046,2.987,0.7261752140520459,-4.808,6.9
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),2188,-0.253,3.1,0.9350795533845817,-6.328,5.823
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),2401,-0.377,0.676,0.5776427916291262,-1.702,0.949
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),2401,-0.206,0.286,0.47004455936259393,-0.766,0.353
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),1933,-0.713,1.274,0.5760504005152585,-3.21,1.785
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),2223,0.893,2.958,0.7626102737020997,-4.903,6.69
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),2245,2.06,3.149,0.5129896310103703,-4.112,8.233
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),2395,0.518,0.825,0.5300610577996578,-1.098,2.134
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),2396,0.349,0.436,0.4227947521022899,-0.505,1.203
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),2158,0.113,1.115,0.9193695838860501,-2.073,2.299
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),1986,0.42,1.512,0.7814423401124196,-2.544,3.383
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),1025,5.587,4.991,0.2630277281552482,-4.195,15.369
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),1027,7.91,5.211,0.12909402110601137,-2.304,18.124
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),1114,0.346,1.514,0.8194011451076215,-2.621,3.312
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),1114,-0.607,0.796,0.4459962256468888,-2.167,0.953
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),1107,0.871,1.563,0.5771090372403119,-2.191,3.934
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),858,-2.697,3.146,0.39148219037349385,-8.862,3.469
