cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),494,0.132,3.493,0.9699147056640068,-6.715,6.978
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),507,0.657,3.627,0.8561844530341158,-6.451,7.766
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),581,0.113,0.752,0.8803314016247415,-1.361,1.588
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),581,0.159,0.336,0.6363636149619462,-0.499,0.816
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),334,-0.132,1.434,0.9264111116694765,-2.943,2.678
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),459,1.88,3.502,0.5913679997836747,-4.983,8.743
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),479,-0.917,3.713,0.8050250744168121,-8.194,6.36
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),507,0.896,0.927,0.3335374510547048,-0.92,2.712
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),507,0.384,0.515,0.45640385677235307,-0.626,1.393
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),502,-0.12,1.265,0.9241940977362628,-2.6,2.359
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),324,2.39,1.77,0.17718952480665168,-1.08,5.859
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),124,3.857,6.513,0.55375168935732,-8.908,16.622
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),124,7.38,6.851,0.2815729504722775,-6.049,20.808
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),133,0.376,1.727,0.8277236884776619,-3.008,3.76
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),133,-0.504,1.003,0.6153310058757244,-2.471,1.462
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),132,-3.526,1.998,0.07781646703314264,-7.443,0.391
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),54,-0.911,4.138,0.8257883810937698,-9.023,7.2
