code_insee,annee,type_scrutin,n_unites,mono_liste,closeness,method
01004,2008,liste,4,0,6.4835,list_margin
01004,2014,liste,3,0,39.5833,list_margin
01004,2020,liste,4,0,28.1996,list_margin
01005,2014,liste,1,1,,list_margin
01005,2020,liste,1,1,,list_margin
01007,2014,liste,3,0,5.2914,list_margin
01007,2020,liste,2,0,0.4625,list_margin
01010,2014,liste,2,0,12.3077,list_margin
01010,2020,liste,1,1,,list_margin
01014,2008,liste,2,0,57.474,list_margin
01014,2014,liste,1,1,,list_margin
01014,2020,liste,2,0,21.1356,list_margin
01021,2014,liste,2,0,13.2231,list_margin
01021,2020,liste,1,1,,list_margin
01022,2014,liste,2,0,30.1855,list_margin
01022,2020,liste,2,0,24.2958,list_margin
01024,2014,liste,2,0,18.3099,list_margin
01024,2020,liste,1,1,,list_margin
01025,2014,liste,1,1,,list_margin
01025,2020,liste,1,1,,list_margin
01027,2014,liste,2,0,44.1558,list_margin
01027,2020,liste,1,1,,list_margin
01031,2014,liste,2,0,20.6381,list_margin
01031,2020,liste,2,0,28.0959,list_margin
01032,2014,liste,2,0,47.7414,list_margin
01032,2020,liste,2,0,5.7357,list_margin
01033,2008,liste,2,0,16.4498,list_margin
01033,2014,liste,3,0,48.5453,list_margin
01033,2020,liste,2,0,26.9582,list_margin
01034,2008,liste,2,0,2.8142,list_margin
01034,2014,liste,2,0,2.3455,list_margin
01034,2020,liste,2,0,9.9892,list_margin
01036,2020,liste,1,1,,list_margin
01043,2008,liste,3,0,20.5651,list_margin
01043,2014,liste,2,0,29.5047,list_margin
01043,2020,liste,2,0,28.7343,list_margin
01047,2020,liste,1,1,,list_margin
01049,2014,liste,1,1,,list_margin
01049,2020,liste,2,0,15.8192,list_margin
01053,2008,liste,4,0,20.569,list_margin
01053,2014,liste,5,0,17.2406,list_margin
01053,2020,liste,5,0,40.364,list_margin
01054,2014,liste,2,0,29.9838,list_margin
01054,2020,liste,3,0,23.3494,list_margin
01061,2014,liste,1,1,,list_margin
01061,2020,liste,2,0,0.2028,list_margin
01064,2020,liste,1,1,,list_margin
01065,2014,liste,1,1,,list_margin
01069,2014,liste,1,1,,list_margin
01069,2020,liste,1,1,,list_margin
01071,2014,liste,1,1,,list_margin
01071,2020,liste,2,0,6.8447,list_margin
01072,2014,liste,1,1,,list_margin
01072,2020,liste,1,1,,list_margin
01073,2020,liste,2,0,41.4035,list_margin
01074,2014,liste,1,1,,list_margin
01074,2020,liste,3,0,40.0644,list_margin
01075,2014,liste,1,1,,list_margin
01075,2020,liste,1,1,,list_margin
01078,2014,liste,2,0,100.0,list_margin
01078,2020,liste,2,0,25.9053,list_margin
01089,2014,liste,1,1,,list_margin
01089,2020,liste,1,1,,list_margin
01092,2014,liste,2,0,38.4831,list_margin
01092,2020,liste,2,0,5.4487,list_margin
01093,2008,liste,3,0,16.7546,list_margin
01093,2014,liste,2,0,6.5037,list_margin
01093,2020,liste,2,0,14.9292,list_margin
01096,2020,liste,1,1,,list_margin
01098,2020,liste,1,1,,list_margin
01099,2014,liste,1,1,,list_margin
01099,2020,liste,2,0,8.3095,list_margin
01103,2014,liste,1,1,,list_margin
01103,2020,liste,2,0,0.2247,list_margin
01105,2014,liste,1,1,,list_margin
01105,2020,liste,2,0,58.2583,list_margin
01108,2014,liste,1,1,,list_margin
01108,2020,liste,2,0,49.8901,list_margin
01109,2014,liste,1,1,,list_margin
01109,2020,liste,1,1,,list_margin
01115,2014,liste,1,1,,list_margin
01115,2020,liste,2,0,1.0352,list_margin
01118,2014,liste,1,1,,list_margin
01118,2020,liste,2,0,21.8487,list_margin
01123,2014,liste,2,0,37.6114,list_margin
01123,2020,liste,2,0,15.5756,list_margin
01130,2014,liste,1,1,,list_margin
01130,2020,liste,1,1,,list_margin
01134,2014,liste,2,0,18.9937,list_margin
01134,2020,liste,2,0,10.443,list_margin
01135,2014,liste,2,0,9.9846,list_margin
01135,2020,liste,2,0,11.4379,list_margin
01138,2014,liste,2,0,11.1792,list_margin
01138,2020,liste,2,0,53.0834,list_margin
01142,2008,liste,2,0,17.5219,list_margin
01142,2014,liste,1,1,,list_margin
01142,2020,liste,1,1,,list_margin
01143,2008,liste,1,1,,list_margin
01143,2014,liste,3,0,19.9303,list_margin
01143,2020,liste,3,0,36.6854,list_margin
01145,2014,liste,1,1,,list_margin
01145,2020,liste,1,1,,list_margin
01148,2014,liste,2,0,23.3853,list_margin
01148,2020,liste,2,0,19.5089,list_margin
01149,2020,liste,2,0,30.3202,list_margin
01151,2014,liste,2,0,12.8682,list_margin
01151,2020,liste,2,0,32.9268,list_margin
01153,2014,liste,1,1,,list_margin
01153,2020,liste,2,0,35.5372,list_margin
01157,2014,liste,1,1,,list_margin
01157,2020,liste,1,1,,list_margin
