code_insee,year,dette
01001,2013,271102.64
01002,2013,24083.57
01004,2013,16032176.15
01005,2013,2067811.75
01006,2013,18182.1
01007,2013,2496383.02
01008,2013,593146.9
01009,2013,37974.62
01010,2013,1693886.0599999998
01011,2013,340013.22000000003
01012,2013,288721.28
01013,2013,4920.0
01014,2013,4714426.39
01015,2013,61341.76
01016,2013,24059.91
01017,2013,42969.95
01019,2013,105340.4
01021,2013,981928.6
01022,2013,1940334.64
01023,2013,13479.08
01024,2013,1726584.97
01025,2013,2469506.99
01026,2013,289528.49
01027,2013,2333840.6199999996
01028,2013,333515.13999999996
01029,2013,319723.93
01030,2013,236574.16
01031,2013,4381979.609999999
01032,2013,774029.1900000001
01033,2013,14804932.139999999
01034,2013,12804328.84
01035,2013,0.0
01036,2013,100650.41
01037,2013,329463.24
01038,2013,677954.6799999999
01039,2013,469735.62
01040,2013,204096.55000000002
01041,2013,421892.59
01042,2013,35999.02
01043,2013,1393469.3399999999
01044,2013,1067249.99
01045,2013,35052.54
01046,2013,575702.2999999999
01047,2013,120380.95
01049,2013,1801764.88
01050,2013,902914.49
01051,2013,8338.91
01052,2013,130507.95
01053,2013,37433467.24
01054,2013,396511.89999999997
01056,2013,18615.31
01057,2013,41555.44
01058,2013,1252815.73
01059,2013,106206.86
01060,2013,382828.83999999997
01061,2013,685000.45
01062,2013,797495.1900000001
01063,2013,534604.39
01064,2013,453901.31
01065,2013,965773.65
01066,2013,177524.85
01067,2013,4081.26
01068,2013,788221.77
01069,2013,809948.87
01071,2013,7323664.38
01072,2013,3707371.18
01073,2013,146628.64
01074,2013,2135599.67
01075,2013,1282165.54
01076,2013,113461.67
01077,2013,40427.36
01078,2013,3216427.89
01079,2013,43173.2
01080,2013,1097641.47
01081,2013,1240819.72
01082,2013,471102.27
01083,2013,430430.7
01084,2013,444615.46
01085,2013,19648.42
01087,2013,144321.30000000002
01088,2013,976088.95
01089,2013,984818.27
01090,2013,486987.54000000004
01091,2013,1438251.05
01092,2013,1090420.82
01093,2013,13960991.51
01094,2013,289746.52
01095,2013,588063.86
01096,2013,867897.86
01097,2013,903.35
01098,2013,986044.13
01099,2013,45876.09
01100,2013,58820.18
01101,2013,18930.4
01102,2013,812002.7999999999
01103,2013,3009180.6100000003
01104,2013,215083.33
01105,2013,973504.89
01106,2013,500.0
01107,2013,182696.66
01108,2013,988983.74
