competitif,estimate,se,p,ci_lo,ci_hi,stage,cohort,n_ctrl,n_trt,n_tot,fiable,lbl
Non-compet.,-0.8887142143089188,3.0980197216572054,0.7742154961138937,-6.9607212921518435,5.183292863534005,Stage 1 -- Candidature,A (2014),3466,213,3679,TRUE,"-0.9 pp
(213/3466)"
Competitif,6.925806548563554,3.1165060742837003,0.026263144348530724,0.8175668853671929,13.034046211759915,Stage 1 -- Candidature,A (2014),3246,168,3414,TRUE,"+6.9 pp**
(168/3246)"
Non-compet.,1.6644355067274998,2.860926751375461,0.5607135724303327,-3.9428778883755795,7.27174890183058,Stage 2 -- Reelection,A (2014),2488,149,2637,TRUE,"+1.7 pp
(149/2488)"
Competitif,-0.20715605374966353,2.704530248941523,0.9389449838546916,-5.507937936774194,5.093625829274867,Stage 2 -- Reelection,A (2014),2338,131,2469,TRUE,"-0.2 pp
(131/2338)"
Non-compet.,-1.9603953699056333,2.3292597266113115,0.39999016211712524,-6.525660544703415,2.604869804892149,Stage 1 -- Candidature,B (2020),5494,373,5867,TRUE,"-2.0 pp
(373/5494)"
Competitif,0.17595562396526182,4.097454446534789,0.9657472363425933,-7.8549075195364235,8.206818767466945,Stage 1 -- Candidature,B (2020),1729,123,1852,TRUE,"+0.2 pp
(123/1729)"
Non-compet.,0.9574157276778567,1.7369982941809086,0.5815035773249095,-2.4470383701242335,4.361869825479946,Stage 2 -- Reelection,B (2020),3979,259,4238,TRUE,"+1.0 pp
(259/3979)"
Competitif,-9.030065633877346,4.627352910256768,0.05100308144167373,-18.099510681737215,0.03937941398252098,Stage 2 -- Reelection,B (2020),1199,85,1284,TRUE,"-9.0 pp*
(85/1199)"
Non-compet.,3.4546216469942763,3.18958245242628,0.27876614110039094,-2.7968450854821727,9.706088379470726,Stage 1 -- Candidature,C (2026),4386,201,4587,TRUE,"+3.5 pp
(201/4386)"
Competitif,4.303370516970773,6.656619056696628,0.5179686009631912,-8.743363092957605,17.35010412689915,Stage 1 -- Candidature,C (2026),955,54,1009,TRUE,"+4.3 pp
(54/955)"
Non-compet.,-1.1612710887814992,3.6081196626871757,0.747566800558026,-8.23305567955917,5.9105135019961725,Stage 2 -- Reelection,C (2026),2950,141,3091,TRUE,"-1.2 pp
(141/2950)"
Competitif,4.6853643862808925,6.952309997442911,0.5003563568150942,-8.940912818064966,18.31164159062675,Stage 2 -- Reelection,C (2026),579,36,615,TRUE,"+4.7 pp
(36/579)"
