spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort A)",TRUE,"Candidacy
(pp)",447,1.2272640107127584,3.3193162495295883,-5.278595838365234,7.7331238597907515,0.7115913275648065,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Reelection
(pp)",474,1.1234049127591308,3.381349899811996,-5.504040890872382,7.750850716390643,0.739720425260844,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Winner vote share
(% valid votes)",489,-0.1574295660620404,0.7542520307816428,-1.6357635463940603,1.3209044142699795,0.8346697103126104,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Abstention
(% registered)",489,0.7724350216378376,0.3348795446137497,0.11607111419488825,1.428798929080787,0.021100918956267357,TRUE,Reference
"Reference
(Full Cohort A)",TRUE,"Candidate turnover
(%)",403,0,NA,NA,NA,NA,NA,Reference
"Reference
(Full Cohort A)",TRUE,"Incumbent vote share
(% valid votes)",351,0.11889713481339413,1.2762461279881567,-2.382545276043393,2.6203395456701815,0.9257806350981239,FALSE,Reference
[Milestones] Application filed (n=662),FALSE,"Candidacy
(pp)",598,0.34032168814750935,2.7540291778995396,-5.057575500535588,5.738218876830606,0.9016572501203128,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Reelection
(pp)",636,-0.626537546089455,2.8439986099432284,-6.200774821578183,4.947699729399273,0.8256420154719655,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Winner vote share
(% valid votes)",662,-0.25936432994116587,0.619633880585051,-1.4738467358878657,0.955118076005534,0.6755359743386347,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Abstention
(% registered)",662,0.17844202038645302,0.2813637068388237,-0.37303084501764144,0.7299148857905475,0.525964532906037,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Candidate turnover
(%)",570,0,NA,NA,NA,NA,NA,NA
[Milestones] Application filed (n=662),FALSE,"Incumbent vote share
(% valid votes)",461,0.3964957263749507,0.9580381221225842,-1.4812589929853144,2.2742504457352157,0.6790004521891333,FALSE,p >= 0.05
[Milestones] Authorization granted (n=679),FALSE,"Candidacy
(pp)",616,-0.9554442986316737,2.834774505357194,-6.511602329131774,4.600713731868426,0.7360929746338323,FALSE,p >= 0.05
[Milestones] Authorization granted (n=679),FALSE,"Reelection
(pp)",651,-0.8693369897699008,2.897251014373025,-6.547948977941029,4.809274998401227,0.7641425483537376,FALSE,p >= 0.05
[Milestones] Authorization granted (n=679),FALSE,"Winner vote share
(% valid votes)",679,-0.7013439581976867,0.6050269199936313,-1.887196721385204,0.4845088049898306,0.2464089722257778,FALSE,p >= 0.05
[Milestones] Authorization granted (n=679),FALSE,"Abstention
(% registered)",679,-0.022764697876733173,0.286487206130876,-0.5842796218932502,0.5387502261397838,0.9366674117679001,FALSE,p >= 0.05
[Milestones] Authorization granted (n=679),FALSE,"Candidate turnover
(%)",589,0,NA,NA,NA,NA,NA,NA
[Milestones] Authorization granted (n=679),FALSE,"Incumbent vote share
(% valid votes)",468,0.6956084936597768,1.0044501341548617,-1.2731137692837522,2.664330756603306,0.4886525555855965,FALSE,p >= 0.05
[Milestones] Commissioning (n=489),FALSE,"Candidacy
(pp)",447,1.2272640107127584,3.3193162495295883,-5.278595838365234,7.7331238597907515,0.7115913275648065,FALSE,p >= 0.05
[Milestones] Commissioning (n=489),FALSE,"Reelection
(pp)",474,1.1234049127591308,3.381349899811996,-5.504040890872382,7.750850716390643,0.739720425260844,FALSE,p >= 0.05
[Milestones] Commissioning (n=489),FALSE,"Winner vote share
(% valid votes)",489,-0.1574295660620404,0.7542520307816428,-1.6357635463940603,1.3209044142699795,0.8346697103126104,FALSE,p >= 0.05
[Milestones] Commissioning (n=489),FALSE,"Abstention
(% registered)",489,0.7724350216378376,0.3348795446137497,0.11607111419488825,1.428798929080787,0.021100918956267357,TRUE,p < 0.05
[Milestones] Commissioning (n=489),FALSE,"Candidate turnover
(%)",403,0,NA,NA,NA,NA,NA,NA
[Milestones] Commissioning (n=489),FALSE,"Incumbent vote share
(% valid votes)",351,0.11889713481339413,1.2762461279881567,-2.382545276043393,2.6203395456701815,0.9257806350981239,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=116),FALSE,"Candidacy
(pp)",113,-0.6431277081515853,6.169816247889712,-12.73596755401542,11.44971213771225,0.9169904656722652,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=116),FALSE,"Reelection
(pp)",115,-4.412890525848101,6.893106075058148,-17.92337843296207,9.097597381265867,0.5221182513440527,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=116),FALSE,"Winner vote share
(% valid votes)",116,-1.1706096953872944,1.3441755936379949,-3.8051938589177645,1.4639744681431754,0.3839137772603216,FALSE,p >= 0.05
