spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort A)",TRUE,"Candidacy
(pp)",454,0.9232285556522248,3.2167349252323496,-5.38157189780318,7.22802900910763,0.7741093585810559,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Reelection
(pp)",482,0.9269595396928577,3.2661972927438887,-5.474787154085164,7.3287062334708795,0.7765636370475386,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Winner vote share
(% valid votes)",497,-0.015319775571816885,0.7347453616507592,-1.455420684407305,1.4247811332636713,0.9833651402426267,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Abstention
(% registered)",497,0.589651845019778,0.3297294771158397,-0.0566179301272679,1.235921620166824,0.07374320154056578,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Incumbent vote share
(% valid votes)",355,0.4839249729022792,1.2287022855150322,-1.9243315067071838,2.892181452511742,0.6937010237914003,FALSE,Reference
[Milestones] Application filed (n=662),FALSE,"Candidacy
(pp)",600,1.0660237339483052,2.7085848907910983,-4.242802652002247,6.374850119898857,0.6939013057868084,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Reelection
(pp)",638,-0.10721467321853814,2.7922085653100877,-5.57994346122631,5.365514114789234,0.9693708982728887,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Winner vote share
(% valid votes)",662,0.1707913186576883,0.6098223044743315,-1.0244603981120013,1.366043035427378,0.7794284804430435,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Abstention
(% registered)",662,0.009872416871697612,0.277949939726699,-0.5349094649926325,0.5546542987360277,0.9716664698734436,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Candidate turnover
(%)",571,0,NA,NA,NA,NA,NA,NA
[Milestones] Application filed (n=662),FALSE,"Incumbent vote share
(% valid votes)",464,0.6883463380424394,0.9574073576176482,-1.1881720828881508,2.56486475897303,0.47217894870195176,FALSE,p >= 0.05
[Milestones] Authorization granted (n=674),FALSE,"Candidacy
(pp)",610,-0.827028249512509,2.7647986449380886,-6.246033593591163,4.591977094566145,0.764845760775549,FALSE,p >= 0.05
