spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort C)",TRUE,"Candidacy
(pp)",292,1.194819739992943,3.913604616456701,-6.4758453082621905,8.865484788248077,0.7601468857127907,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Reelection
(pp)",292,3.6936674696258356,4.405768543699478,-4.941638876025141,12.328973815276811,0.4018487581023886,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Winner vote share
(% valid votes)",329,0.25128270989018686,1.081320646392909,-1.8681057570399147,2.3706711768202884,0.8162446507340562,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Abstention
(% registered)",332,0.3559514693453121,0.6200960077329899,-0.8594367058113481,1.5713396445019723,0.5659650789101051,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Candidate turnover
(%)",326,0.172852439977085,1.342004916164581,-2.4574771957054935,2.803182075659664,0.8975177974199009,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Incumbent vote share
(% valid votes)",156,0.48448411548868453,2.047250123510337,-3.5281261265915758,4.497094357568945,0.8129468935061974,FALSE,Reference
[Milestones] Application filed (n=351),FALSE,"Candidacy
(pp)",318,0.6008405192368894,2.886173616505936,-5.056059769114745,6.257740807588524,0.8350950517810127,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Reelection
(pp)",318,-0.7098547951686929,3.1371025847335607,-6.858575861246472,5.438866270909086,0.8209920239097582,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Winner vote share
(% valid votes)",347,1.5536158712093036,0.7403266036616325,0.10257572803250392,3.004656014386103,0.03588668661488347,TRUE,p < 0.05
[Milestones] Application filed (n=351),FALSE,"Abstention
(% registered)",351,0.6368056747111087,0.48565353139179684,-0.3150752468168131,1.5886865962390306,0.18981470737468958,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Candidate turnover
(%)",345,-0.36046338181716714,0.8984536340292288,-2.1214325045144555,1.4005057408801214,0.6882806095314296,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Incumbent vote share
(% valid votes)",152,0.6197376854856106,1.1296056157977048,-1.5942893214778908,2.8337646924491122,0.5833063778962582,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Candidacy
(pp)",239,-6.436809039427234,3.2887944126997954,-12.882846088318832,0.00922800946436464,0.05036263869043691,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Reelection
(pp)",239,-4.069549012678982,3.697429333898837,-11.316510507120702,3.1774124817627385,0.27108768249131293,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Winner vote share
(% valid votes)",256,1.4997059459087552,0.8293769126397694,-0.12587280286519298,3.125284694682703,0.07060706458393362,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Abstention
(% registered)",257,0.90085569940452,0.5090315951811696,-0.09684622715057234,1.8985576259596124,0.07680640590376041,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Candidate turnover
(%)",256,0.41835543231069056,1.0987359190191277,-1.7351669689667995,2.5718778335881805,0.7033910731776767,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Incumbent vote share
(% valid votes)",106,-0.08298599533911422,1.6315873929132239,-3.280897285449033,3.1149252947708046,0.9594394674392859,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Candidacy
(pp)",292,1.194819739992943,3.913604616456701,-6.4758453082621905,8.865484788248077,0.7601468857127907,FALSE,p >= 0.05
