Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidacy (pp),Reference,Reference (Full Cohort B),592,-2.15,2.8,-7.64,3.33,0.442,FALSE
Candidacy (pp),Milestones,Application filed,530,-0.25,2.26,-4.68,4.18,0.912,FALSE
Candidacy (pp),Milestones,Authorization granted,581,-4.94,2.51,-9.86,-0.02,0.049,TRUE
Candidacy (pp),Milestones,Commissioning,592,-2.15,2.8,-7.64,3.33,0.442,FALSE
Candidacy (pp),Regions,Brittany,23,-17.87,14.84,-46.97,11.22,0.229,FALSE
Candidacy (pp),Regions,Grand Est,90,14.51,6.99,0.8,28.21,0.038,TRUE
Candidacy (pp),Regions,Hauts-de-France,223,-3.92,4.29,-12.33,4.5,0.362,FALSE
Candidacy (pp),Regions,Normandy,34,-13.82,12.37,-38.06,10.42,0.264,FALSE
Candidacy (pp),Regions,Other regions,222,-2.59,4.88,-12.14,6.97,0.596,FALSE
Candidacy (pp),Electoral system,List ballot,80,2.5,7.87,-12.93,17.93,0.751,FALSE
Candidacy (pp),Electoral system,Plurality/individual,512,-2.92,2.99,-8.79,2.94,0.329,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2014,228,1.02,3.89,-6.61,8.65,0.794,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2020,157,-0.33,3.21,-6.63,5.96,0.917,FALSE
Candidacy (pp),Municipality size,"< 1,000 registered voters",536,-2.97,2.93,-8.72,2.77,0.31,FALSE
Candidacy (pp),Municipality size,">= 1,000 registered voters",56,5.48,9.37,-12.89,23.85,0.559,FALSE
Candidacy (pp),Installation power,Large >= 8 MW,303,-3.18,3.89,-10.8,4.44,0.414,FALSE
Candidacy (pp),Installation power,Small < 8 MW,289,-1.08,3.99,-8.9,6.73,0.786,FALSE
Candidacy (pp),Cohorts,A 2008-2014,454,1.26,3.22,-5.04,7.56,0.696,FALSE
Candidacy (pp),Cohorts,C 2020-2026,292,1.28,3.86,-6.29,8.85,0.74,FALSE
Candidacy (pp),Competitiveness,Competitive,146,-0.81,5.48,-11.56,9.93,0.882,FALSE
Candidacy (pp),Competitiveness,Non-competitive,446,-2.9,3.24,-9.26,3.45,0.371,FALSE
Candidacy (pp),Income,High,263,-5.79,4.26,-14.14,2.55,0.174,FALSE
Candidacy (pp),Income,Low,264,2.38,4.24,-5.93,10.68,0.575,FALSE
Reelection (pp),Reference,Reference (Full Cohort B),623,-3.45,2.94,-9.22,2.32,0.241,FALSE
Reelection (pp),Milestones,Application filed,550,1.15,2.39,-3.54,5.84,0.631,FALSE
Reelection (pp),Milestones,Authorization granted,607,-4.48,2.66,-9.7,0.73,0.092,FALSE
Reelection (pp),Milestones,Commissioning,623,-3.45,2.94,-9.22,2.32,0.241,FALSE
Reelection (pp),Regions,Brittany,23,-23.12,14.36,-51.26,5.03,0.108,FALSE
Reelection (pp),Regions,Grand Est,99,5.27,7.09,-8.62,19.16,0.457,FALSE
Reelection (pp),Regions,Hauts-de-France,227,-1.56,4.87,-11.1,7.99,0.75,FALSE
Reelection (pp),Regions,Normandy,35,-19.25,13.87,-46.43,7.93,0.165,FALSE
Reelection (pp),Regions,Other regions,239,-2.02,4.86,-11.54,7.5,0.678,FALSE
Reelection (pp),Electoral system,List ballot,80,-6.22,8.21,-22.32,9.88,0.449,FALSE
Reelection (pp),Electoral system,Plurality/individual,543,-3.09,3.15,-9.27,3.09,0.327,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2014,233,1.41,3.07,-4.61,7.43,0.646,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2020,162,0,NA,NA,NA,NA,NA
Reelection (pp),Municipality size,"< 1,000 registered voters",567,-3.35,3.08,-9.39,2.7,0.278,FALSE
Reelection (pp),Municipality size,">= 1,000 registered voters",56,-4.78,9.84,-24.06,14.5,0.627,FALSE
Reelection (pp),Installation power,Large >= 8 MW,323,-2.4,4.03,-10.29,5.49,0.552,FALSE
Reelection (pp),Installation power,Small < 8 MW,300,-4.59,4.26,-12.94,3.76,0.281,FALSE
Reelection (pp),Cohorts,A 2008-2014,482,1.73,3.26,-4.66,8.12,0.595,FALSE
Reelection (pp),Cohorts,C 2020-2026,292,3.56,4.35,-4.96,12.09,0.412,FALSE
Reelection (pp),Competitiveness,Competitive,155,-11.93,5.75,-23.2,-0.67,0.038,TRUE
Reelection (pp),Competitiveness,Non-competitive,468,-1.46,3.42,-8.16,5.24,0.67,FALSE
Reelection (pp),Income,High,276,-8.43,4.43,-17.11,0.25,0.057,FALSE
Reelection (pp),Income,Low,279,2.49,4.44,-6.21,11.19,0.574,FALSE
Winner vote share (% valid votes),Reference,Reference (Full Cohort B),637,-0.9,0.69,-2.25,0.45,0.192,FALSE
Winner vote share (% valid votes),Milestones,Application filed,585,0.37,0.56,-0.73,1.46,0.512,FALSE
Winner vote share (% valid votes),Milestones,Authorization granted,628,-0.27,0.61,-1.46,0.93,0.662,FALSE
Winner vote share (% valid votes),Milestones,Commissioning,637,-0.9,0.69,-2.25,0.45,0.192,FALSE
