Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidacy (pp),Reference,Reference (Full Cohort A),447,1.23,3.32,-5.28,7.73,0.712,FALSE
Candidacy (pp),Milestones,Application filed,598,0.34,2.75,-5.06,5.74,0.902,FALSE
Candidacy (pp),Milestones,Authorization granted,616,-0.96,2.83,-6.51,4.6,0.736,FALSE
Candidacy (pp),Milestones,Commissioning,447,1.23,3.32,-5.28,7.73,0.712,FALSE
Candidacy (pp),Regions,Brittany,42,9.48,12.08,-14.19,33.15,0.433,FALSE
Candidacy (pp),Regions,Grand Est,124,-4.89,6.45,-17.53,7.75,0.448,FALSE
Candidacy (pp),Regions,Hauts-de-France,113,-0.64,6.17,-12.74,11.45,0.917,FALSE
Candidacy (pp),Regions,Normandy,25,13.43,14.4,-14.8,41.65,0.352,FALSE
Candidacy (pp),Regions,Other regions,143,3.16,5.96,-8.51,14.84,0.596,FALSE
Candidacy (pp),Electoral system,List ballot,6,-22.46,31.09,-83.4,38.47,0.472,FALSE
Candidacy (pp),Electoral system,Plurality/individual,441,1.65,3.33,-4.87,8.18,0.62,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2008,170,0.99,4.25,-7.34,9.31,0.816,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2014,111,3.81,4.23,-4.49,12.1,0.368,FALSE
Candidacy (pp),Municipality size,"< 1,000 registered voters",395,2.84,3.45,-3.92,9.59,0.41,FALSE
Candidacy (pp),Municipality size,">= 1,000 registered voters",52,-9.94,11.13,-31.75,11.87,0.372,FALSE
Candidacy (pp),Installation power,Large >= 7 MW,225,2.4,4.47,-6.35,11.16,0.59,FALSE
Candidacy (pp),Installation power,Small < 7 MW,222,0.06,4.76,-9.26,9.39,0.99,FALSE
Candidacy (pp),Cohorts,B 2014-2020,597,-1.65,2.86,-7.26,3.95,0.563,FALSE
Candidacy (pp),Cohorts,C 2020-2026,313,1.21,3.72,-6.07,8.5,0.744,FALSE
Candidacy (pp),Competitiveness,Competitive,203,1.17,4.38,-7.42,9.77,0.789,FALSE
Candidacy (pp),Competitiveness,Non-competitive,244,-0.36,4.8,-9.77,9.06,0.94,FALSE
Reelection (pp),Reference,Reference (Full Cohort A),474,1.12,3.38,-5.5,7.75,0.74,FALSE
Reelection (pp),Milestones,Application filed,636,-0.63,2.84,-6.2,4.95,0.826,FALSE
Reelection (pp),Milestones,Authorization granted,651,-0.87,2.9,-6.55,4.81,0.764,FALSE
Reelection (pp),Milestones,Commissioning,474,1.12,3.38,-5.5,7.75,0.74,FALSE
Reelection (pp),Regions,Brittany,45,16.04,11.32,-6.16,38.23,0.157,FALSE
Reelection (pp),Regions,Grand Est,135,-3.61,6.35,-16.06,8.84,0.57,FALSE
Reelection (pp),Regions,Hauts-de-France,115,-4.41,6.89,-17.92,9.1,0.522,FALSE
Reelection (pp),Regions,Normandy,25,6.98,16.3,-24.97,38.93,0.669,FALSE
Reelection (pp),Regions,Other regions,154,4.88,5.88,-6.65,16.4,0.407,FALSE
Reelection (pp),Electoral system,List ballot,7,7.94,32.58,-55.91,71.8,0.808,FALSE
Reelection (pp),Electoral system,Plurality/individual,467,1.03,3.4,-5.64,7.7,0.762,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2008,176,3.42,3.51,-3.45,10.29,0.33,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2014,112,0,NA,NA,NA,NA,NA
Reelection (pp),Municipality size,"< 1,000 registered voters",418,2.59,3.53,-4.33,9.5,0.464,FALSE
Reelection (pp),Municipality size,">= 1,000 registered voters",56,-8.97,11.07,-30.66,12.73,0.418,FALSE
Reelection (pp),Installation power,Large >= 7 MW,238,4.12,4.62,-4.93,13.18,0.372,FALSE
Reelection (pp),Installation power,Small < 7 MW,236,-1.92,4.78,-11.28,7.45,0.688,FALSE
Reelection (pp),Cohorts,B 2014-2020,629,-2.74,3.01,-8.64,3.16,0.363,FALSE
Reelection (pp),Cohorts,C 2020-2026,313,4.68,4.12,-3.39,12.75,0.256,FALSE
Reelection (pp),Competitiveness,Competitive,215,-1.31,4.31,-9.75,7.13,0.761,FALSE
Reelection (pp),Competitiveness,Non-competitive,259,2.02,4.99,-7.76,11.8,0.686,FALSE
Winner vote share (% valid votes),Reference,Reference (Full Cohort A),489,-0.16,0.75,-1.64,1.32,0.835,FALSE
Winner vote share (% valid votes),Milestones,Application filed,662,-0.26,0.62,-1.47,0.96,0.676,FALSE
Winner vote share (% valid votes),Milestones,Authorization granted,679,-0.7,0.61,-1.89,0.48,0.246,FALSE
Winner vote share (% valid votes),Milestones,Commissioning,489,-0.16,0.75,-1.64,1.32,0.835,FALSE
Winner vote share (% valid votes),Regions,Brittany,46,4.61,2.77,-0.82,10.04,0.096,FALSE
Winner vote share (% valid votes),Regions,Grand Est,137,0.58,1.2,-1.77,2.93,0.629,FALSE
Winner vote share (% valid votes),Regions,Hauts-de-France,116,-1.17,1.34,-3.81,1.46,0.384,FALSE
Winner vote share (% valid votes),Regions,Normandy,26,-2.23,4.24,-10.55,6.08,0.599,FALSE
Winner vote share (% valid votes),Regions,Other regions,164,-0.96,1.43,-3.77,1.84,0.501,FALSE
Winner vote share (% valid votes),Electoral system,List ballot,10,5.65,6.35,-6.79,18.09,0.375,FALSE
Winner vote share (% valid votes),Electoral system,Plurality/individual,479,-0.26,0.76,-1.75,1.23,0.731,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2008,176,0.38,1.31,-2.19,2.96,0.77,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2014,112,-0.75,1.64,-3.98,2.47,0.647,FALSE
Winner vote share (% valid votes),Mayor stability,Same mayor 2008-2014,184,0.02,1.01,-1.97,2,0.988,FALSE
Winner vote share (% valid votes),Municipality size,"< 1,000 registered voters",427,0.44,0.73,-0.99,1.87,0.547,FALSE
Winner vote share (% valid votes),Municipality size,">= 1,000 registered voters",62,-2.17,3.07,-8.19,3.85,0.48,FALSE
Winner vote share (% valid votes),Installation power,Large >= 7 MW,245,-0.34,1,-2.29,1.61,0.733,FALSE
Winner vote share (% valid votes),Installation power,Small < 7 MW,244,0.02,1.1,-2.14,2.18,0.987,FALSE
Winner vote share (% valid votes),Cohorts,B 2014-2020,644,-0.93,0.71,-2.32,0.45,0.188,FALSE
Winner vote share (% valid votes),Cohorts,C 2020-2026,353,0.11,1.02,-1.88,2.11,0.91,FALSE
Winner vote share (% valid votes),Competitiveness,Competitive,218,0.1,0.94,-1.75,1.95,0.916,FALSE
Winner vote share (% valid votes),Competitiveness,Non-competitive,271,-1.64,1.05,-3.69,0.41,0.117,FALSE
Abstention (% registered),Reference,Reference (Full Cohort A),489,0.77,0.33,0.12,1.43,0.021,TRUE
Abstention (% registered),Milestones,Application filed,662,0.18,0.28,-0.37,0.73,0.526,FALSE
Abstention (% registered),Milestones,Authorization granted,679,-0.02,0.29,-0.58,0.54,0.937,FALSE
Abstention (% registered),Milestones,Commissioning,489,0.77,0.33,0.12,1.43,0.021,TRUE
Abstention (% registered),Regions,Brittany,46,1.09,0.86,-0.6,2.78,0.208,FALSE
Abstention (% registered),Regions,Grand Est,137,1.15,0.71,-0.24,2.55,0.104,FALSE
Abstention (% registered),Regions,Hauts-de-France,116,1.25,0.67,-0.07,2.56,0.063,FALSE
Abstention (% registered),Regions,Normandy,26,-0.28,1.56,-3.33,2.78,0.86,FALSE
Abstention (% registered),Regions,Other regions,164,0.14,0.56,-0.95,1.23,0.796,FALSE
Abstention (% registered),Electoral system,List ballot,10,-0.12,1.94,-3.92,3.68,0.952,FALSE
Abstention (% registered),Electoral system,Plurality/individual,479,0.81,0.34,0.14,1.47,0.017,TRUE
Abstention (% registered),Mayor stability,Mayor turnover 2008,176,0.88,0.53,-0.15,1.91,0.094,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2014,112,0.73,0.74,-0.73,2.18,0.328,FALSE
Abstention (% registered),Mayor stability,Same mayor 2008-2014,184,0.95,0.55,-0.13,2.03,0.084,FALSE
Abstention (% registered),Municipality size,"< 1,000 registered voters",427,1,0.36,0.3,1.71,0.005,TRUE
Abstention (% registered),Municipality size,">= 1,000 registered voters",62,-0.56,0.89,-2.3,1.19,0.532,FALSE
Abstention (% registered),Installation power,Large >= 7 MW,245,0.66,0.44,-0.21,1.52,0.137,FALSE
Abstention (% registered),Installation power,Small < 7 MW,244,0.89,0.49,-0.07,1.85,0.07,FALSE
Abstention (% registered),Cohorts,B 2014-2020,644,-0.86,0.42,-1.68,-0.04,0.04,TRUE
Abstention (% registered),Cohorts,C 2020-2026,356,0.02,0.59,-1.13,1.17,0.972,FALSE
Abstention (% registered),Competitiveness,Competitive,218,1.54,0.53,0.5,2.57,0.004,TRUE
Abstention (% registered),Competitiveness,Non-competitive,271,-0.12,0.43,-0.96,0.72,0.776,FALSE
Candidate turnover (%),Reference,Reference (Full Cohort A),403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Milestones,Application filed,570,0,NA,NA,NA,NA,NA
Candidate turnover (%),Milestones,Authorization granted,589,0,NA,NA,NA,NA,NA
Candidate turnover (%),Milestones,Commissioning,403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Regions,Other regions,124,0,NA,NA,NA,NA,NA
Candidate turnover (%),Electoral system,Plurality/individual,403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Mayor stability,Mayor turnover 2008,141,0,NA,NA,NA,NA,NA
Candidate turnover (%),Municipality size,"< 1,000 registered voters",403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Installation power,Small < 7 MW,198,0,NA,NA,NA,NA,NA
Candidate turnover (%),Cohorts,B 2014-2020,628,0.69,1.12,-1.5,2.88,0.538,FALSE
Candidate turnover (%),Cohorts,C 2020-2026,350,-0.34,1.28,-2.85,2.18,0.792,FALSE
Candidate turnover (%),Competitiveness,Non-competitive,212,0,NA,NA,NA,NA,NA
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort A),351,0.12,1.28,-2.38,2.62,0.926,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,461,0.4,0.96,-1.48,2.27,0.679,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,468,0.7,1,-1.27,2.66,0.489,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,351,0.12,1.28,-2.38,2.62,0.926,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,30,0.2,4.74,-9.08,9.49,0.966,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,103,3.02,2.08,-1.05,7.09,0.147,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,93,-0.09,2.23,-4.45,4.28,0.969,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,18,-16.48,7.17,-30.53,-2.42,0.022,TRUE
Incumbent vote share (% valid votes),Regions,Other regions,107,-0.33,2.61,-5.45,4.8,0.901,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,348,0.2,1.28,-2.3,2.71,0.874,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2008,141,4.86,4.35,-3.66,13.38,0.264,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2014,26,-0.01,5.09,-9.99,9.96,0.998,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2008-2014,184,0.02,1.01,-1.97,2,0.988,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",317,0.88,1.18,-1.43,3.2,0.454,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",34,-7.06,7.58,-21.92,7.8,0.353,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 7 MW,178,0.57,1.59,-2.55,3.68,0.722,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 7 MW,173,-0.34,1.95,-4.16,3.47,0.86,FALSE
Incumbent vote share (% valid votes),Cohorts,B 2014-2020,434,1.49,1.34,-1.13,4.11,0.264,FALSE
Incumbent vote share (% valid votes),Cohorts,C 2020-2026,166,-0.2,1.88,-3.88,3.49,0.917,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,163,0.01,1.47,-2.87,2.9,0.992,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,188,-0.29,2.05,-4.31,3.74,0.889,FALSE
