Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidacy (pp),Reference,Reference (Full Cohort C),313,1.21,3.72,-6.07,8.5,0.744,FALSE
Candidacy (pp),Milestones,Application filed,311,-0.38,2.92,-6.11,5.35,0.897,FALSE
Candidacy (pp),Milestones,Authorization granted,258,-4.24,3.18,-10.49,2,0.183,FALSE
Candidacy (pp),Milestones,Commissioning,313,1.21,3.72,-6.07,8.5,0.744,FALSE
Candidacy (pp),Regions,Brittany,20,-7.66,15.97,-38.96,23.63,0.631,FALSE
Candidacy (pp),Regions,Grand Est,38,-11.23,12.35,-35.43,12.97,0.363,FALSE
Candidacy (pp),Regions,Hauts-de-France,97,-4.62,6.4,-17.17,7.93,0.471,FALSE
Candidacy (pp),Regions,Normandy,26,-12.32,9.23,-30.42,5.78,0.183,FALSE
Candidacy (pp),Regions,Other regions,132,10.19,5.81,-1.19,21.57,0.079,FALSE
Candidacy (pp),Electoral system,List ballot,57,13.78,9.21,-4.27,31.83,0.135,FALSE
Candidacy (pp),Electoral system,Plurality/individual,256,-1.97,4.02,-9.84,5.9,0.624,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2020,115,-4.39,5.73,-15.63,6.85,0.444,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2026,103,0.3,4.55,-8.62,9.22,0.948,FALSE
Candidacy (pp),Municipality size,"< 1,000 registered voters",277,-0.14,3.89,-7.76,7.48,0.971,FALSE
Candidacy (pp),Municipality size,">= 1,000 registered voters",36,10.85,11.95,-12.57,34.27,0.364,FALSE
Candidacy (pp),Installation power,Large >= 9 MW,159,-6.26,5.25,-16.54,4.03,0.233,FALSE
Candidacy (pp),Installation power,Small < 9 MW,154,9.01,5.08,-0.96,18.97,0.076,FALSE
Candidacy (pp),Cohorts,A 2008-2014,447,1.23,3.32,-5.28,7.73,0.712,FALSE
Candidacy (pp),Cohorts,B 2014-2020,597,-1.65,2.86,-7.26,3.95,0.563,FALSE
Candidacy (pp),Competitiveness,Competitive,59,8.91,9.55,-9.8,27.62,0.351,FALSE
Candidacy (pp),Competitiveness,Non-competitive,254,-0.52,3.99,-8.34,7.3,0.896,FALSE
Candidacy (pp),Income,High,144,-0.07,5.65,-11.14,11.01,0.991,FALSE
Candidacy (pp),Income,Low,147,2.01,5.28,-8.34,12.36,0.703,FALSE
Reelection (pp),Reference,Reference (Full Cohort C),313,4.68,4.12,-3.39,12.75,0.256,FALSE
Reelection (pp),Milestones,Application filed,311,-0.99,3.2,-7.27,5.29,0.757,FALSE
Reelection (pp),Milestones,Authorization granted,258,-2.32,3.53,-9.25,4.61,0.512,FALSE
Reelection (pp),Milestones,Commissioning,313,4.68,4.12,-3.39,12.75,0.256,FALSE
Reelection (pp),Regions,Brittany,20,0.99,18.31,-34.89,36.88,0.957,FALSE
Reelection (pp),Regions,Grand Est,38,4.86,12.5,-19.64,29.36,0.697,FALSE
Reelection (pp),Regions,Hauts-de-France,97,-1.79,7.47,-16.43,12.86,0.811,FALSE
Reelection (pp),Regions,Normandy,26,-18.85,10.95,-40.31,2.62,0.086,FALSE
Reelection (pp),Regions,Other regions,132,11.91,6.3,-0.43,24.26,0.059,FALSE
Reelection (pp),Electoral system,List ballot,57,10.56,9.41,-7.89,29.01,0.262,FALSE
Reelection (pp),Electoral system,Plurality/individual,256,3.43,4.58,-5.54,12.4,0.454,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2020,115,3.42,4.48,-5.36,12.2,0.445,FALSE
