Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidacy (pp),Reference,Reference (Full Cohort C),313,1.64,3.76,-5.73,9.01,0.663,FALSE
Candidacy (pp),Milestones,Application filed,311,-0.15,2.86,-5.75,5.45,0.957,FALSE
Candidacy (pp),Milestones,Authorization granted,258,-4.97,4.03,-12.86,2.93,0.218,FALSE
Candidacy (pp),Milestones,Commissioning,313,1.64,3.76,-5.73,9.01,0.663,FALSE
Candidacy (pp),Regions,Brittany,20,-5.29,16,-36.65,26.06,0.741,FALSE
Candidacy (pp),Regions,Grand Est,38,-16.82,12.58,-41.47,7.84,0.181,FALSE
Candidacy (pp),Regions,Hauts-de-France,97,-4.91,6.5,-17.64,7.83,0.45,FALSE
Candidacy (pp),Regions,Normandy,26,-1.9,9.15,-19.84,16.03,0.835,FALSE
Candidacy (pp),Regions,Other regions,132,8.31,5.89,-3.24,19.86,0.158,FALSE
Candidacy (pp),Electoral system,List ballot,57,14.98,9.25,-3.16,33.12,0.106,FALSE
Candidacy (pp),Electoral system,Plurality/individual,256,-1.31,4.07,-9.28,6.66,0.748,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2020,115,-3.97,5.85,-15.45,7.51,0.498,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2026,103,0.21,4.55,-8.7,9.12,0.963,FALSE
Candidacy (pp),Municipality size,"< 1,000 registered voters",277,0.36,3.95,-7.37,8.1,0.927,FALSE
Candidacy (pp),Municipality size,">= 1,000 registered voters",36,12.21,11.83,-10.97,35.39,0.302,FALSE
Candidacy (pp),Installation power,Large >= 9 MW,159,-6.1,5.46,-16.79,4.59,0.263,FALSE
Candidacy (pp),Installation power,Small < 9 MW,154,9.41,5.07,-0.52,19.34,0.063,FALSE
Candidacy (pp),Cohorts,A 2008-2014,447,1.69,3.24,-4.65,8.03,0.601,FALSE
Candidacy (pp),Cohorts,B 2014-2020,597,-1.78,2.78,-7.24,3.68,0.522,FALSE
Candidacy (pp),Competitiveness,Competitive,59,7.26,9.53,-11.43,25.94,0.447,FALSE
Candidacy (pp),Competitiveness,Non-competitive,254,0.34,4.05,-7.6,8.29,0.932,FALSE
Candidacy (pp),Income,High,144,2.3,5.72,-8.9,13.51,0.687,FALSE
Candidacy (pp),Income,Low,147,1.28,5.38,-9.26,11.82,0.812,FALSE
Reelection (pp),Reference,Reference (Full Cohort C),313,4.91,4.16,-3.24,13.07,0.238,FALSE
Reelection (pp),Milestones,Application filed,311,-0.96,3.12,-7.08,5.16,0.757,FALSE
Reelection (pp),Milestones,Authorization granted,258,-2.8,4.41,-11.45,5.85,0.526,FALSE
Reelection (pp),Milestones,Commissioning,313,4.91,4.16,-3.24,13.07,0.238,FALSE
Reelection (pp),Regions,Brittany,20,2.77,18.22,-32.94,38.49,0.879,FALSE
Reelection (pp),Regions,Grand Est,38,-1.7,12.56,-26.32,22.92,0.892,FALSE
Reelection (pp),Regions,Hauts-de-France,97,-1.39,7.59,-16.26,13.49,0.855,FALSE
Reelection (pp),Regions,Normandy,26,-9.69,10.98,-31.21,11.84,0.378,FALSE
Reelection (pp),Regions,Other regions,132,9.58,6.38,-2.93,22.08,0.133,FALSE
Reelection (pp),Electoral system,List ballot,57,10.63,9.45,-7.88,29.15,0.26,FALSE
Reelection (pp),Electoral system,Plurality/individual,256,3.67,4.63,-5.4,12.74,0.428,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2020,115,4.48,4.55,-4.45,13.4,0.326,FALSE
Reelection (pp),Mayor stability,Mayor turnover 2026,103,0,NA,NA,NA,NA,NA
Reelection (pp),Municipality size,"< 1,000 registered voters",277,3.8,4.44,-4.91,12.51,0.392,FALSE
Reelection (pp),Municipality size,">= 1,000 registered voters",36,14.46,11.6,-8.28,37.19,0.213,FALSE
Reelection (pp),Installation power,Large >= 9 MW,159,1.89,5.94,-9.75,13.53,0.751,FALSE
Reelection (pp),Installation power,Small < 9 MW,154,8.01,5.77,-3.3,19.32,0.165,FALSE
Reelection (pp),Cohorts,A 2008-2014,474,1.38,3.3,-5.08,7.85,0.675,FALSE
Reelection (pp),Cohorts,B 2014-2020,629,-3.09,2.93,-8.84,2.65,0.292,FALSE
