cohort,control,spec,n,n_treated,estimate,se,ci_low,ci_high,p,signif
A,Socioeconomically matched control,Unweighted,10594,336,0.985,3.268,-5.421,7.39,0.763,
A,Socioeconomically matched control,IPW-weighted,10594,336,1.05,3.275,-5.37,7.469,0.749,
A,Baseline control,Unweighted,34701,336,1.446,3.195,-4.816,7.708,0.651,
A,Baseline control,IPW-weighted,34701,336,1.52,3.203,-4.758,7.799,0.635,
B,Socioeconomically matched control,Unweighted,11599,417,0.069,3.109,-6.024,6.162,0.982,
B,Socioeconomically matched control,IPW-weighted,11599,417,-0.11,3.112,-6.21,5.99,0.972,
B,Baseline control,Unweighted,36468,417,0.099,3.043,-5.865,6.064,0.974,
B,Baseline control,IPW-weighted,36468,417,-0.059,3.044,-6.026,5.907,0.984,
C,Socioeconomically matched control,Unweighted,10632,204,6.275,4.942,-3.411,15.961,0.204,
C,Socioeconomically matched control,IPW-weighted,10632,204,6.17,4.921,-3.476,15.816,0.21,
C,Baseline control,Unweighted,34426,204,5.969,4.876,-3.587,15.526,0.221,
C,Baseline control,IPW-weighted,34426,204,5.856,4.856,-3.662,15.375,0.228,
