id_aerogenerateur,nom_eolienne,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,puissance_mw,hauteur_totale,hauteur_mat_nacelle,diametre_rotor,cote_ngf,periode_allumage,type_feu,constructeur,reference_modele,x_aerogenerateur,y_aerogenerateur,epsg,etat_parc,statut_parc,date_maj
0006306644_E2,0006306644_E2,0006306644,Parc de la Renardière,44193,ST VINCENT DES LANDES,44,52,2.00,146.00,100.00,92.00,46.000,Jour et Nuit,Feux à éclats,SENVION,MM92,362779.47,6.73589e+06,2154,,En instruction,2022-08-16 00:00:00
0005403239_E10,0005403239_E10,0005403239,Parc éolien du Pays de Saint Seine,21705,VILLOTTE-SAINT-SEINE,21,27,2.00,125.00,80.00,90.00,529.520,Jour et Nuit,Feux à éclats,VESTAS,V90-2.0MW,829373,6.706262e+06,2154,En exploitation,Autorisé,2023-03-27 00:00:00
0010011789_E2,0010011789_E2,0010011789,Parc éolien de la Brière,45025,BAZOCHES LES GALLERANDES,45,24,2.00,120.00,80.00,80.00,134.000,Jour et Nuit,Feux à éclats,VESTAS,V80-2.0MW,626764,6.783746e+06,2154,,En instruction,2022-09-20 00:00:00
0005517853_E1,0005517853_E1,0005517853,Centrale Eolienne Gueltas Noyal-Pontivy,56072,GUELTAS,56,53,1.50,116.50,78.00,77.00,155.000,Jour et Nuit,Feux à éclats,Repower,MD77,267723.22,6.792008e+06,2154,En exploitation,Autorisé,2023-12-05 00:00:00
0007209497_E3,0007209497_E3,0007209497,Parc éolien SOCPE CHAMPS CHAGNOTS,86123,BOIVRE-LA-VALLEE,86,75,3.00,155.00,100.00,110.00,154.000,Jour et Nuit,Feux à éclats,Ecotecnia,Eco 110,481790.66,6.6053135e+06,2154,En exploitation,Autorisé,2022-09-13 00:00:00
0005403239_E18,0005403239_E18,0005403239,Parc éolien du Pays de Saint Seine,21561,SAINT-MARTIN-DU-MONT,21,27,2.00,125.00,80.00,90.00,562.040,Jour et Nuit,Feux à éclats,VESTAS,V90-2.0MW,833253,6.703015e+06,2154,En exploitation,Autorisé,2023-03-27 00:00:00
0005517787_E5,0005517787_E5,0005517787,Parc Eolien de Le Gollot,22249,PONT MELVEZ,22,53,1.30,89.00,58.00,62.00,275.000,Jour et Nuit,Feux à éclats,Siemens,SW 1.3,236729.05,6.8364725e+06,2154,En exploitation,Autorisé,2023-04-26 00:00:00
0005403285_E2,SEN100300,0005403285,PARC EOLIEN DE DYE,89149,DYE,89,27,2.00,150.00,100.00,100.00,203.000,Jour et Nuit,Feux à éclats,SGRE,MM100,763017,6.754263e+06,2154,En exploitation,Autorisé,2025-01-06 00:00:00
0006605550_E14,E14,0006605550,CEPE du Souleilla,11398,TREILLES,11,76,1.50,80.00,49.00,62.00,241.500,Jour et Nuit,Feux à éclats,VENSYS,VENSYS 62,693840,6.201471e+06,2154,En exploitation,Autorisé,2024-02-16 00:00:00
0005107698_E10,0005107698_E10,0005107698,LA COUTURELLE - Biaches - Flaucourt - Haut de Somme 2,80054,BARLEUX,80,32,2.00,126.00,80.00,92.00,85.000,Jour et Nuit,Feux à éclats,Senvion,MM 92,691786,6.978868e+06,2154,En exploitation,Autorisé,2023-03-23 00:00:00
0007209533_E1,0007209533_E1,0007209533,Mont joubert energies,86231,SAINT-MACOUX,86,75,2.00,155.00,105.00,100.00,132.000,Jour et Nuit,Feux à éclats,VESTAS,V100-2.0MW,488450.2,6.5614165e+06,2154,En exploitation,Autorisé,2022-09-13 00:00:00
0010011790_E4,0010011790_E4,0010011790,PE du Plateau Beauceron,45012,AUDEVILLE,45,24,2.00,125.00,80.00,90.00,126.000,Jour et Nuit,Feux à éclats,VESTAS,V90-2.0MW,642062,6.79778e+06,2154,,En instruction,2022-12-26 00:00:00
