id_poste_livraison,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,x_poste_livraison,y_poste_livraison,epsg,etat_parc,statut_parc,date_maj
0003012346_PL1,0003012346,Parc éolien du Champ de l'Epée II,10386,TROUANS,10,44,785029.9,6.837854e+06,2154,En construction,Autorisé,2025-01-13 00:00:00
0006606182_PL2,0006606182,RAZ Energie 3 - SAS BKW France,11421,VILLEDAIGNE,11,76,687415.25,6.2341525e+06,2154,En exploitation,Autorisé,2024-07-23 00:00:00
0003014162_PL1,0003014162,parc éolien des Portes de Champagne 2,51258,LA FORESTIERE,51,44,741917,6.840663e+06,2154,,En instruction,2022-10-21 00:00:00
0007209519_PL1,0007209519,Ferme éolienne de Marsais 2,17221,MARSAIS,17,75,417362.7,6.562779e+06,2154,En exploitation,Autorisé,2023-02-06 00:00:00
0005704362_PL1,0005704362,ENERGIE DU PORCIEN SASU,08380,SAINT-FERGEUX,08,44,791196.3,6.9403865e+06,2154,En exploitation,Autorisé,2025-12-15 00:00:00
0003014610_PL1,0003014610,Parc éolien des Cinq Poiriers,55207,GERY,55,44,869675,6.857107e+06,2154,En attente de construction,Autorisé,2025-01-09 00:00:00
0007209568_PL1,0007209568,Régie d'Energie Eolienne (REE),17266,LES NOUILLERS,17,75,418484.72,6.5424595e+06,2154,,En instruction,2022-12-13 00:00:00
0003012123_PL1,0003012123,EOLE HSR,08210,HANNOGNE-SAINT-REMY,08,44,781900,6.948459e+06,2154,En attente de construction,Autorisé,2025-03-24 00:00:00
0005704232_PL4,0005704232,Mont de Bezard,10365,SALON,10,44,778360,6.840345e+06,2154,En attente de construction,Autorisé,2024-08-22 00:00:00
0006605543_PL1,0006605543,Parc Eolien de Villesèque 2,11436,VILLESEQUE DES CORBIERES,11,76,690844.6,6.211998e+06,2154,En exploitation,Autorisé,2023-04-04 00:00:00
0006209316_PL2,0006209316,Parc éolien de Rumont Haut de Bane,55446,RUMONT,55,44,868075,6.861668e+06,2154,En attente de construction,Autorisé,2023-10-16 00:00:00
