Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidacy (pp),Reference,Reference (Full Cohort B),597,-1.65,2.86,-7.26,3.95,0.563,FALSE
Candidacy (pp),Milestones,Application filed,512,-1.1,2.53,-6.05,3.86,0.665,FALSE
Candidacy (pp),Milestones,Authorization granted,589,-4.97,2.63,-10.14,0.19,0.059,FALSE
Candidacy (pp),Milestones,Commissioning,597,-1.65,2.86,-7.26,3.95,0.563,FALSE
Candidacy (pp),Regions,Brittany,23,-15.12,14.93,-44.39,14.14,0.312,FALSE
Candidacy (pp),Regions,Grand Est,89,14.8,7.23,0.63,28.97,0.041,TRUE
Candidacy (pp),Regions,Hauts-de-France,225,-2.65,4.31,-11.1,5.8,0.539,FALSE
Candidacy (pp),Regions,Normandy,34,-9.71,12.63,-34.45,15.04,0.442,FALSE
Candidacy (pp),Regions,Other regions,226,-4.02,4.92,-13.67,5.62,0.414,FALSE
Candidacy (pp),Electoral system,List ballot,82,6,7.8,-9.29,21.3,0.442,FALSE
Candidacy (pp),Electoral system,Plurality/individual,515,-2.83,3.08,-8.87,3.21,0.358,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2014,232,-0.59,3.99,-8.41,7.22,0.882,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2020,158,1.21,3.31,-5.26,7.69,0.713,FALSE
Candidacy (pp),Municipality size,"< 1,000 registered voters",540,-2.78,3,-8.67,3.1,0.354,FALSE
Candidacy (pp),Municipality size,">= 1,000 registered voters",57,8.9,9.46,-9.64,27.44,0.347,FALSE
Candidacy (pp),Installation power,Large >= 8 MW,306,-2.23,3.92,-9.92,5.45,0.569,FALSE
Candidacy (pp),Installation power,Small < 8 MW,291,-1.05,4.02,-8.94,6.83,0.793,FALSE
Candidacy (pp),Cohorts,A 2008-2014,447,1.23,3.32,-5.28,7.73,0.712,FALSE
Candidacy (pp),Cohorts,C 2020-2026,313,1.21,3.72,-6.07,8.5,0.744,FALSE
Candidacy (pp),Competitiveness,Competitive,148,0.21,5.59,-10.74,11.16,0.97,FALSE
Candidacy (pp),Competitiveness,Non-competitive,449,-2.56,3.31,-9.06,3.93,0.439,FALSE
Candidacy (pp),Income,High,267,-5.15,4.3,-13.58,3.27,0.23,FALSE
Candidacy (pp),Income,Low,265,2.48,4.31,-5.96,10.92,0.564,FALSE
Reelection (pp),Reference,Reference (Full Cohort B),629,-2.74,3.01,-8.64,3.16,0.363,FALSE
Reelection (pp),Milestones,Application filed,531,0.67,2.67,-4.56,5.89,0.803,FALSE
Reelection (pp),Milestones,Authorization granted,615,-4.42,2.79,-9.9,1.05,0.113,FALSE
Reelection (pp),Milestones,Commissioning,629,-2.74,3.01,-8.64,3.16,0.363,FALSE
Reelection (pp),Regions,Brittany,23,-20.6,14.49,-49.01,7.8,0.156,FALSE
Reelection (pp),Regions,Grand Est,98,4.1,7.36,-10.32,18.53,0.577,FALSE
Reelection (pp),Regions,Hauts-de-France,229,-0.64,4.88,-10.2,8.92,0.896,FALSE
Reelection (pp),Regions,Normandy,35,-13.46,14.15,-41.21,14.28,0.342,FALSE
Reelection (pp),Regions,Other regions,244,-3.32,4.94,-13.01,6.37,0.502,FALSE
