cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),5,-22.954,19.651,0.24372218932939302,-61.47,15.562
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),5,3.725,31.28,0.9052924374406239,-57.584,65.033
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),5,0.583,2.308,0.8006549207135175,-3.941,5.108
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),5,0.698,1.501,0.6421809244085785,-2.244,3.64
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),3,10.455,5.421,0.0560725671823596,-0.171,21.081
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),19,-19.131,10.342,0.06453074301281861,-39.4,1.139
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),19,-17.046,12.067,0.1579743697467112,-40.698,6.606
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),23,2.283,4.057,0.573662099518554,-5.668,10.234
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),23,-0.586,2.111,0.7812805203756782,-4.724,3.552
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),20,1.108,6.705,0.868838897955601,-12.035,14.25
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),13,2.477,6.226,0.6908303038567609,-9.726,14.681
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),9,-30.586,24.106,0.20615461915238384,-77.834,16.662
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),9,-39.546,24.636,0.11013765734406333,-87.833,8.74
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),10,-17.329,6.051,0.004599433549508449,-29.19,-5.469
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),10,-7.394,2.294,0.0014486554873659654,-11.891,-2.897
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),10,2.243,4.165,0.5907713494369681,-5.919,10.406
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),4,-15.882,6.109,0.011691721053346465,-27.856,-3.907
