cohort,control,spec,n,n_treated,estimate,se,ci_low,ci_high,p,signif
A,Socioeconomically matched control,Unweighted,10594,336,0.985,3.268,-5.421,7.39,0.763,
A,Socioeconomically matched control,IPW-weighted,10594,336,1.05,3.275,-5.37,7.469,0.749,
A,Baseline control,Unweighted,28377,336,0.898,3.202,-5.378,7.173,0.779,
A,Baseline control,IPW-weighted,28377,336,0.981,3.211,-5.313,7.275,0.76,
B,Socioeconomically matched control,Unweighted,11599,417,0.069,3.109,-6.024,6.162,0.982,
B,Socioeconomically matched control,IPW-weighted,11599,417,-0.11,3.112,-6.21,5.99,0.972,
B,Baseline control,Unweighted,29939,417,0.359,3.049,-5.616,6.335,0.906,
B,Baseline control,IPW-weighted,29939,417,0.181,3.05,-5.798,6.16,0.953,
C,Socioeconomically matched control,Unweighted,10632,204,6.275,4.942,-3.411,15.961,0.204,
C,Socioeconomically matched control,IPW-weighted,10632,204,6.17,4.921,-3.476,15.816,0.21,
C,Baseline control,Unweighted,28182,204,6.113,4.882,-3.456,15.682,0.211,
C,Baseline control,IPW-weighted,28182,204,6.011,4.862,-3.518,15.54,0.216,
