code_insee,invest_sd
01001,3440909.07
01002,2464358.5100000002
01004,92891129.62
01005,8879409.75
01006,942308.7
01007,27489033.32
01008,3387331.86
01009,1013774.17
01010,16444224.530000001
01011,2983288.93
01012,4691010.11
01013,2306244.5
01014,48805220.449999996
01015,2224180.42
01016,1923733.61
01017,5313990.09
01019,899525.9600000001
01021,8650654.31
01022,7829869.87
01023,816802.23
01024,15982787.049999999
01025,15258632.07
01026,3853863.62
01027,21291306.14
01028,2383405.12
01029,4957949.37
01030,5316357.51
01031,37944925.23
01032,17601198.16
01033,117655653.75
01034,78177330.31
01035,4944340.46
01036,4457123.96
01037,4312147.07
01038,6492976.88
01039,2618868.73
01040,1809620.18
01041,4722396.13
01042,1953409.0699999998
01043,43345767.94
01044,8870626.77
01045,1176195.7
01046,5084013.11
01047,8225624.76
01049,19677573.74
01050,2230533.5
01051,1210687.05
01052,1630192.02
01053,322806713.61
01054,8267985.18
01056,2085850.6
01057,1842780.47
01058,17685007.8
01059,1354358.54
01060,6756741.95
01061,6367696.87
01062,6533367.08
01063,8493366.16
01064,7997312.62
01065,12933241.68
01066,2192878.09
01067,2103591.75
01068,4761317.04
01069,10510025.51
01071,35887401.23
01072,19752316.4
01073,4948553.74
01074,14955676.670000002
01075,8150858.07
01076,1765099.9200000002
01077,1615981.7
01078,11402709.36
01079,7604412.74
01080,8398933.33
01081,10922906.8
01082,5214919.62
01083,5187852.8
01084,3456094.2800000003
01085,1459881.71
01087,4629232.8
01088,6236684.859999999
01089,11855435.58
01090,2652005.71
01091,26732910.62
01092,6289440.03
01093,65211798.059999995
01094,3313913.15
01095,5183015.470000001
01096,5846740.85
01097,1410096.74
01098,5745499.2700000005
01099,6697379.33
01100,1653393.51
01101,2127672.18
01102,5766462.140000001
01103,10860875.02
01104,8010219.35
01105,6879050.29
01106,1917712.48
01107,2306095.95
01108,10305994.450000001
01109,20711649.48
01110,1237189.72
01111,1295156.94
01112,2694420.73
01113,5731227.72
01114,5528622.390000001
01115,6562650.59
01116,3415660.46
01117,1222509.97
01118,7820343.86
01119,3575152.09
01121,1765711.09
01122,7897789.08
01123,5775860.890000001
01124,5716482.01
01125,6108441.92
01127,3466826.93
01128,2159859.73
01129,1352086.78
01130,6372792.63
01133,5360796.89
01134,8014818.67
01135,21058480.71
01136,5949234.39
01138,31160702.419999998
01139,3813848.3000000003
01140,4068796.34
01141,2406122.06
01142,35005787.8
01143,159911115.79999998
01144,3404122.6799999997
01145,7812139.54
01146,2172239.66
01147,3477081.15
01148,12076263.35
01149,7827480.27
01150,1706738.54
01151,6197207.029999999
01152,6456328.06
01153,17241586.419999998
01154,12304430.35
01155,2627706.91
01156,3696518.43
01157,10160404.41
01158,7417745.76
01159,25614247.86
01160,71310801.63
01162,1027477.12
01163,11921076.15
01165,5405955.9
01166,9719697.68
01167,4404029.33
01169,2122811.43
01170,5348812.97
01171,5498524.09
01172,1194459.61
01173,90399653.38
01174,5636004.61
01175,5039218.63
01176,3518833.5300000003
01177,1613168.05
01179,11582744.549999999
01180,6505394.37
01181,14504033.71
01182,2336168.57
01183,7055611.13
01184,4062406.97
01185,38416129.14
01186,1573813.58
01187,4924660.1
01188,4793319.58
01189,22966230.37
01190,1399223.99
01191,2063409.96
01192,33892342.32
01193,1084344.8800000001
01194,38154788.98
01195,9817871.37
01196,6620135.6
01197,2322382.18
01198,2920682.04
01199,18033924.37
01200,1198373.77
01202,47841252.42
01203,5687018.92
01204,2697480.37
01205,10500991.27
01206,2174779.2199999997
01207,1126273.19
01208,1897772.51
01209,9215597.54
01210,7925238.62
01211,11359513.790000001
01212,5752723.37
01213,8325638.390000001
01214,1651836.33
01215,757756.14
01216,9343563.110000001
01218,1560355.81
01219,1385175.03
01221,3944540.62
01224,15664225.540000001
01225,1626727.4300000002
01227,2332066.75
01228,10266754.100000001
01229,4678264.62
01230,2259690.33
01231,13382382.56
01232,23530550.52
01233,1510430.7
01234,1277759.65
01235,6090472.2299999995
01236,4975558.05
01237,18411909.19
01238,11080463.82
01239,4202699.2
01240,4388837.0
01241,11228343.07
01242,793538.32
01243,8345110.59
01244,48199123.57
01245,3839031.77
01246,10876627.49
01247,8207272.22
01248,10614383.72
01249,63541363.879999995
01250,8284874.44
01252,3652178.8
01254,9834948.15
01255,2082577.86
01257,5616844.62
01258,5499327.069999999
01259,4359106.58
01260,2999925.5100000002
01261,3508432.8000000003
01262,42675925.42
01263,19816221.87
01264,5662465.52
01265,38220412.48
01266,13093918.92
01267,9997490.84
01268,4697631.28
01269,37952519.96
01271,3816192.83
01272,8962708.38
01273,9065352.81
01274,6096119.34
01275,15293173.48
01276,9001833.14
01277,1461611.1400000001
01279,1160418.5
01280,1927162.45
01281,23417218.9
01282,2740343.94
01283,201105262.18
01284,3081978.81
01285,6433598.89
01286,1395466.54
01288,22195273.3
01289,52299250.989999995
01290,10175598.55
01291,4847058.42
01292,4648659.53
01293,1485929.59
01294,5360921.0
01295,1587230.4
01296,2756296.33
01297,3743612.85
01298,842277.15
01299,2437415.36
01300,5449016.91
01301,17889143.47
01302,1587007.55
01303,20341163.01
01304,23350075.830000002
01305,21225310.56
01306,9035368.7
01307,13720519.74
01308,5515939.54
01309,797950.16
01310,1399005.6400000001
01311,1268111.17
01312,2164811.66
01313,45789519.93
01314,9592575.6
01316,1249294.32
01317,1877130.8399999999
01318,2663996.91
01319,2444069.7199999997
01320,24858957.06
01321,4296306.57
01322,40929076.35
01323,4605612.31
01325,7566057.5600000005
01328,3604558.5
01329,2153488.6100000003
01330,2983061.35
01331,1385542.94
01332,4558939.35
01333,23045088.86
01334,3747264.44
01335,2343770.32
01336,7636777.67
01337,4690560.77
01338,5929301.61
01339,6718891.15
01340,1339012.24
01341,1963433.13
01342,2606329.27
01343,11866948.85
01344,39728008.79
01345,13999977.08
01346,4733795.44
01347,6822806.95
01348,18631655.25
01349,3947934.97
01350,16011271.02
01351,10852862.91
01352,2411199.07
01353,5945691.09
01354,65878664.46
01355,3391219.6500000004
01356,1179415.68
01357,5404980.7299999995
01358,1677302.02
01359,950995.43
01360,13035105.33
01361,7302747.89
01362,4404768.91
01363,9480524.62
01364,4327385.859999999
01365,6555895.27
01366,5417295.86
01367,5890500.21
01368,3554244.1900000004
01369,5501346.83
01370,11733438.19
01371,4558564.49
01372,2535687.25
01373,10991232.19
01374,12764383.39
01375,3941652.7800000003
01376,34597192.2
01378,15649249.350000001
01379,5252867.75
01380,8942287.11
01381,4103591.77
01382,1047103.0700000001
01383,11904600.57
01384,24373906.89
01385,9634805.56
01386,6671468.97
01387,941626.14
01388,9380996.52
01389,13390731.16
01390,71632643.92
01391,3448314.69
01392,4333326.97
01393,2655151.18
01396,8841794.17
01397,8644653.72
01398,8603610.31
01399,14105725.600000001
01400,1204406.72
01401,14022492.25
01402,3196218.5100000002
01403,8502282.05
01404,1354962.65
01405,11209091.93
01406,1254087.42
01407,9341630.61
01408,5712608.54
01409,1709101.82
01410,3262206.8200000003
01411,3474392.52
01412,3100072.75
01413,1228326.2599999998
01414,3808082.4499999997
01415,2216036.0
01416,10451260.87
01417,5414651.16
01418,4482627.61
01419,40268521.21
01420,14728230.120000001
01421,5946917.54
01422,11500057.35
01423,3976688.2
01424,7843596.53
01425,2964293.27
01426,26753858.79
01427,56112520.910000004
01428,1267739.94
01429,5014641.92
01430,3524855.6999999997
01431,9140537.46
01432,2730885.8
01433,1594431.34
01434,1922373.41
01435,17721918.52
01436,5982642.86
01437,2539691.71
01439,1073652.0
01441,4648496.55
01442,1951022.47
01443,31568489.47
01444,7870517.13
01445,3886945.85
01446,7578396.16
01447,8085280.640000001
01448,3192512.9699999997
