cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),2123,0.979,1.779,0.5822656623915686,-2.508,4.466
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),2158,-0.757,1.842,0.6809756028634458,-4.367,2.852
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),2401,-0.779,0.462,0.09173698260259236,-1.684,0.126
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),2401,-0.431,0.17,0.011452534877642542,-0.765,-0.097
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),1462,-1.512,0.838,0.07121628618066798,-3.154,0.13
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),2162,-1.214,1.761,0.4908165328399966,-4.666,2.239
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),2223,-0.628,1.844,0.7333245580901426,-4.242,2.986
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),2396,0.394,0.545,0.4703421084546344,-0.675,1.462
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),2396,-0.281,0.263,0.2859090660980599,-0.797,0.235
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),2158,0.075,0.78,0.9232222009151455,-1.454,1.604
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),1440,-0.296,0.967,0.7597903143369619,-2.191,1.599
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),963,2.924,2.551,0.25169784411075463,-2.075,7.924
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),963,4.471,2.685,0.09590118467568945,-0.791,9.734
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),1071,-0.755,0.811,0.35193736601215164,-2.343,0.834
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),1114,-0.366,0.399,0.35886151336650784,-1.149,0.416
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),1055,0.727,0.779,0.35074093107758286,-0.8,2.253
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),488,-2.519,1.572,0.10920939071807526,-5.6,0.562
