cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),2163,1.068,2.982,0.7202980325810358,-4.777,6.913
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),2188,-0.262,3.096,0.9326566141373005,-6.329,5.806
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),2401,-0.364,0.675,0.5895693666275252,-1.686,0.958
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),2401,-0.215,0.285,0.44981010340299776,-0.774,0.343
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),1933,-0.741,1.268,0.5589983712840954,-3.225,1.744
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),2223,0.858,2.956,0.7716145430831333,-4.936,6.652
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),2245,2.004,3.148,0.5245019729662906,-4.167,8.174
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),2395,0.536,0.823,0.5148381562380941,-1.077,2.148
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),2396,0.344,0.436,0.4311831260564767,-0.512,1.199
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),2158,0.114,1.114,0.9184192974031138,-2.07,2.299
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),1986,0.387,1.507,0.7972830788127021,-2.567,3.341
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),1025,4.873,4.973,0.327193573846711,-4.874,14.619
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),1027,7.157,5.182,0.16732931931786868,-3,17.313
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),1114,0.224,1.503,0.8815926263234449,-2.723,3.171
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),1114,-0.419,0.792,0.5966533155826735,-1.971,1.133
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),1107,0.963,1.553,0.5350765265510337,-2.08,4.007
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),858,-2.565,3.134,0.4132215108993529,-8.708,3.578
