cohort,method,outcome,n_trt,estimate,se,p,ci_low,ci_high
A,"TWFE (Cohort A, 2008-2014)",Candidacy (pp),2151,0.6991,2.8615,0.8069985200456644,-4.9095,6.3077
A,"TWFE (Cohort A, 2008-2014)",Reelection (pp),2176,-0.411,2.9571,0.8894683961305112,-6.2069,5.3849
A,"TWFE (Cohort A, 2008-2014)",Winner vote share (%),2387,-0.5894,0.6615,0.3729594666363715,-1.8858,0.7071
A,"TWFE (Cohort A, 2008-2014)",Abstention (%),2387,-0.2727,0.2745,0.3205459079293834,-0.8108,0.2654
A,"TWFE (Cohort A, 2008-2014)",Incumbent vote share (%),1922,-0.3459,1.2408,0.7804698333470328,-2.7779,2.0862
B,"TWFE (Cohort B, 2014-2020)",Candidacy (pp),2206,0.664,2.9215,0.820221435053256,-5.0622,6.3901
B,"TWFE (Cohort B, 2014-2020)",Reelection (pp),2228,2.5287,3.1176,0.4173456195937284,-3.5819,8.6392
B,"TWFE (Cohort B, 2014-2020)",Winner vote share (%),2373,0.7045,0.8145,0.38707268887988977,-0.8919,2.301
B,"TWFE (Cohort B, 2014-2020)",Abstention (%),2373,0.4102,0.4302,0.3404193924178863,-0.4331,1.2534
B,"TWFE (Cohort B, 2014-2020)",Candidate turnover (%),2138,0.4876,1.1112,0.6608280113868417,-1.6903,2.6654
B,"TWFE (Cohort B, 2014-2020)",Incumbent vote share (%),1971,0.0728,1.4991,0.9612667482468683,-2.8654,3.011
C,"TWFE (Cohort C, 2020-2025)",Candidacy (pp),1009,3.3829,5.3025,0.5235232317139346,-7.0101,13.7758
C,"TWFE (Cohort C, 2020-2025)",Reelection (pp),1011,4.2771,5.4886,0.4358592512656472,-6.4806,15.0348
C,"TWFE (Cohort C, 2020-2025)",Winner vote share (%),1094,2.1524,1.513,0.1549168128265739,-0.8131,5.1179
C,"TWFE (Cohort C, 2020-2025)",Abstention (%),1094,0.4917,0.773,0.5247726752864821,-1.0235,2.0068
C,"TWFE (Cohort C, 2020-2025)",Candidate turnover (%),1089,0.1521,1.4369,0.9157140927636856,-2.6642,2.9683
C,"TWFE (Cohort C, 2020-2025)",Incumbent vote share (%),843,-2.3873,2.9076,0.41174395944637765,-8.0861,3.3115
