code,cohort,n_trt,estimate,se,p,ci_low,ci_high,signif
A104 Gendarmerie,A,82,-0.83013799389509,0.9082852291436397,0.3610962641817598,-2.6103770430166238,0.9501010552264438,FALSE
A104 Gendarmerie,B,146,0.005533983790287023,0.9864555681635183,0.9955253930001622,-1.9279189298102088,1.938986897390783,FALSE
A104 Gendarmerie,C,28,4.046756491923501,2.482076581784693,0.10413911840434034,-0.8181136083744969,8.911626592221499,FALSE
C101 Ecole maternelle,A,461,-0.688363795999142,0.4156373407047395,0.09788075388543901,-1.5030129837804314,0.12628539178214748,FALSE
C101 Ecole maternelle,B,447,-0.46020392713924474,0.635371691183307,0.4689950041101453,-1.7055324418585265,0.7851245875800371,FALSE
C101 Ecole maternelle,C,311,0.2244493129132361,0.7759544297008103,0.7724320110544189,-1.2964213693003521,1.7453199951268243,FALSE
C201 College,A,16,-1.4929322765077506,1.768925126096185,0.40023258400665374,-4.960025523656273,1.9741609706407717,FALSE
C201 College,B,33,-2.768612312857476,2.204338818777116,0.2104852161827391,-7.089116397660623,1.5518917719456713,FALSE
C201 College,C,39,1.3972270003576424,1.9855497606184453,0.48244769346030114,-2.4944505304545106,5.288904531169795,FALSE
D101 Hopital court sejour,A,54,-0.3749853434754768,1.5474136138115318,0.8091079136272887,-3.407916026546079,2.6579453395951256,FALSE
D101 Hopital court sejour,B,25,4.536913915066637,2.3937084767828845,0.06494219771309069,-0.1547546994278166,9.228582529561091,FALSE
D102 Hopital moyen sejour,A,52,1.366888865444161,1.2173471215178615,0.2631760925797344,-1.0191114927308473,3.7528892236191695,FALSE
D102 Hopital moyen sejour,B,39,-2.527404997215193,2.0226494665354715,0.2134905305141803,-6.491797951624717,1.4369879571943311,FALSE
D102 Hopital moyen sejour,C,36,0.4359753521532645,2.2011616232595017,0.8433027894473812,-3.8783014294353593,4.750252133741888,FALSE
D103 Hopital long sejour,A,132,0.2420925830344708,0.9999123628762274,0.8089722790219418,-1.7177356482029351,2.2019208142718765,FALSE
D103 Hopital long sejour,C,9,1.136039870725648,5.469754553008188,0.8386855334241401,-9.5846790531704,11.856758794621696,FALSE
D201 Medecin generaliste,A,425,-0.11350047191802229,0.36998113581607417,0.7590374327603163,-0.8386634981175276,0.6116625542814831,FALSE
D201 Medecin generaliste,B,699,0.5256088968392971,0.44493651769745124,0.23755962076278211,-0.34646667784770724,1.3976844715263015,FALSE
D201 Medecin generaliste,C,716,-0.03806153964356196,0.5125442995366103,0.9408078975867036,-1.0426483667353181,0.9665252874481942,FALSE
D307 Pharmacie,A,27,-0.192317650930311,1.4531980506889572,0.8947695955329493,-3.0405858302806674,2.6559505284200453,FALSE
D307 Pharmacie,B,104,-1.0262917498769235,1.1553096054911463,0.3745440961455738,-3.2906985766395698,1.238115076885723,FALSE
D307 Pharmacie,C,172,-0.058622800965052346,0.9223417675502792,0.9493303670501129,-1.8664126653635997,1.7491670634334948,FALSE
C104 Ecole elementaire,A,581,0.159,0.336,0.6363636149619462,-0.49956,0.8175600000000001,FALSE
C104 Ecole elementaire,B,507,0.384,0.515,0.45640385677235307,-0.6254000000000001,1.3934000000000002,FALSE
C104 Ecole elementaire,C,133,-0.504,1.003,0.6153310058757244,-2.46988,1.4618799999999998,FALSE
"ALL 12 (basket, net)",A,2401,-0.431,0.17,0.01145253487764254,-0.7642,-0.0978,TRUE
"ALL 12 (basket, net)",B,2396,-0.281,0.263,0.2859090660980599,-0.7964800000000001,0.23448000000000002,FALSE
"ALL 12 (basket, net)",C,1114,-0.366,0.399,0.35886151336650784,-1.14804,0.4160400000000001,FALSE
