spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort B)",TRUE,"Candidacy
(pp)",592,-2.1464885844659616,2.8054388224241755,-7.645148676417345,3.352171507485422,0.4442112796957599,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Reelection
(pp)",623,-3.429819296674355,2.9495055903616394,-9.210850253783168,2.351211660434458,0.2449059873658872,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Winner vote share
(% valid votes)",637,-0.8237537136635628,0.6908651886609469,-2.1778494834390187,0.5303420561118931,0.2331366317906481,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Abstention
(% registered)",637,-0.5273241796145399,0.4139840196353755,-1.3387328580998759,0.284084498870796,0.202755263264416,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Candidate turnover
(%)",621,-0.3929244338118092,1.100422495120355,-2.5497525242477046,1.7639036566240864,0.721045804784779,FALSE,Reference
"Reference
(Full Cohort B)",TRUE,"Incumbent vote share
(% valid votes)",429,1.6510549444095781,1.3110313706599488,-0.9185665420839213,4.220676430903078,0.2079318384517666,FALSE,Reference
[Milestones] Application filed (n=585),FALSE,"Candidacy
(pp)",530,-0.28613350958615813,2.684830548806149,-5.54840138524621,4.976134366073893,0.9151279456503651,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Reelection
(pp)",550,1.381532751798413,2.8397706834140846,-4.184417787693193,6.947483291290019,0.6266219585884605,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Winner vote share
(% valid votes)",585,0.5001312432834296,0.6579921067426755,-0.7895332859322143,1.7897957724990734,0.44721083273572204,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Abstention
(% registered)",585,-0.34667527314699476,0.3989924499921507,-1.1287004751316103,0.4353499288376207,0.3849241312910592,FALSE,p >= 0.05
[Milestones] Application filed (n=585),FALSE,"Candidate turnover
(%)",573,-2.2721808080968064,1.0515550550144683,-4.333228715925165,-0.21113290026844878,0.030725095076469304,TRUE,p < 0.05
[Milestones] Application filed (n=585),FALSE,"Incumbent vote share
(% valid votes)",401,-0.0934619678060387,1.16624618897708,-2.379304498201116,2.192380562589038,0.9361282308366718,FALSE,p >= 0.05
[Milestones] Authorization granted (n=628),FALSE,"Candidacy
(pp)",581,-5.412761321762644,2.772343565883929,-10.846554710895145,0.0210320673698563,0.0509035249899751,FALSE,p >= 0.05
