spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort A)",TRUE,"Candidacy
(pp)",454,0.9232285556522248,3.2167349252323496,-5.38157189780318,7.22802900910763,0.7741093585810559,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Reelection
(pp)",482,0.9269595396928577,3.2661972927438887,-5.474787154085164,7.3287062334708795,0.7765636370475386,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Winner vote share
(% valid votes)",497,-0.04448630761981084,0.7348107253110382,-1.4847153292294455,1.395742713989824,0.9517251767436283,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Abstention
(% registered)",497,0.589651845019778,0.3297294771158397,-0.0566179301272679,1.235921620166824,0.07374320154056578,FALSE,Reference
"Reference
(Full Cohort A)",TRUE,"Incumbent vote share
(% valid votes)",355,0.4628445004176167,1.2288054896325777,-1.9456142592622356,2.871303260097469,0.7064338236447587,FALSE,Reference
[Milestones] Application filed (n=662),FALSE,"Candidacy
(pp)",600,1.0660237339483052,2.7085848907910983,-4.242802652002247,6.374850119898857,0.6939013057868084,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Reelection
(pp)",638,-0.10721467321853814,2.7922085653100877,-5.57994346122631,5.365514114789234,0.9693708982728887,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Winner vote share
(% valid votes)",662,0.14192791722303336,0.6098987767698255,-1.0534736852458246,1.3373295196918915,0.8159908522066969,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Abstention
(% registered)",662,0.009872416871697612,0.277949939726699,-0.5349094649926325,0.5546542987360277,0.9716664698734436,FALSE,p >= 0.05
[Milestones] Application filed (n=662),FALSE,"Candidate turnover
(%)",571,0,NA,NA,NA,NA,NA,NA
[Milestones] Application filed (n=662),FALSE,"Incumbent vote share
(% valid votes)",464,0.6683060177237965,0.9574976940705991,-1.2083894626545777,2.5450014981021707,0.4852134327339793,FALSE,p >= 0.05
[Milestones] Authorization granted (n=674),FALSE,"Candidacy
(pp)",610,-0.827028249512509,2.7647986449380886,-6.246033593591163,4.591977094566145,0.764845760775549,FALSE,p >= 0.05
