Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidacy (pp),Reference,Reference (Full Cohort A),454,0.92,3.22,-5.38,7.23,0.774,FALSE
Candidacy (pp),Milestones,Application filed,600,1.07,2.71,-4.24,6.37,0.694,FALSE
Candidacy (pp),Milestones,Authorization granted,610,-0.83,2.76,-6.25,4.59,0.765,FALSE
Candidacy (pp),Milestones,Commissioning,454,0.92,3.22,-5.38,7.23,0.774,FALSE
Candidacy (pp),Regions,Brittany,42,6.65,11.99,-16.85,30.16,0.579,FALSE
Candidacy (pp),Regions,Grand Est,126,-2.71,6.06,-14.58,9.17,0.655,FALSE
Candidacy (pp),Regions,Hauts-de-France,113,0.23,6.13,-11.78,12.24,0.97,FALSE
Candidacy (pp),Regions,Normandy,27,12.16,12.59,-12.52,36.83,0.334,FALSE
Candidacy (pp),Regions,Other regions,146,0.16,5.83,-11.27,11.59,0.978,FALSE
Candidacy (pp),Electoral system,List ballot,6,-31.57,30.59,-91.52,28.38,0.303,FALSE
Candidacy (pp),Electoral system,Plurality/individual,448,1.37,3.23,-4.96,7.69,0.672,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2008,171,0.97,4.27,-7.39,9.34,0.82,FALSE
Candidacy (pp),Mayor stability,Mayor turnover 2014,113,2.91,4.1,-5.12,10.94,0.477,FALSE
Candidacy (pp),Municipality size,"< 1,000 registered voters",401,2.2,3.33,-4.32,8.73,0.508,FALSE
Candidacy (pp),Municipality size,">= 1,000 registered voters",53,-7.89,10.91,-29.27,13.5,0.47,FALSE
Candidacy (pp),Installation power,Large >= 7 MW,229,2.27,4.36,-6.27,10.81,0.602,FALSE
Candidacy (pp),Installation power,Small < 7 MW,225,-0.41,4.68,-9.58,8.75,0.929,FALSE
Candidacy (pp),Cohorts,B 2014-2020,592,-2.15,2.81,-7.65,3.35,0.444,FALSE
Candidacy (pp),Cohorts,C 2020-2026,292,1.59,3.87,-5.99,9.17,0.68,FALSE
Candidacy (pp),Competitiveness,Competitive,206,1.83,4.19,-6.38,10.05,0.662,FALSE
Candidacy (pp),Competitiveness,Non-competitive,248,-2.46,4.69,-11.66,6.74,0.6,FALSE
Reelection (pp),Reference,Reference (Full Cohort A),482,0.93,3.27,-5.47,7.33,0.777,FALSE
